"","Family","Genus","Species","sci_name","nutrient_data","ctmax_estimate","gl_fish","SpecCode","SpeciesRefNo","FBname","Fresh","Brack","Saltwater","LongevityWild","Vulnerability","Length","LTypeMaxM","CommonLength","LTypeComM","Weight","Importance","DietTroph","DietSeTroph","DietRemark","FoodTroph","FoodSeTroph","FoodRemark","TLinfinity_mean","K_mean","TLinfinity_sd","K_sd"
"1","Cichlidae","Oreochromis","niloticus","Oreochromis niloticus","Y","Y",NA,2,2,"Nile tilapia",1,1,0,9,30.47,60,"SL",NA,NA,4324,"highly commercial",2,NA,"Troph of adults from 1 study.",2.01999998092651,0,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.20151851851852,NA,4.15222320695811
"2","Cichlidae","Oreochromis","niloticus","Oreochromis niloticus","Y","Y",NA,2,2,"Nile tilapia",1,1,0,9,30.47,60,"SL",NA,NA,4324,"highly commercial",2,NA,"Troph of adults from 1 study.",NA,NA,NA,NA,4.20151851851852,NA,4.15222320695811
"3","Cichlidae","Oreochromis","niloticus","Oreochromis niloticus","Y","Y",NA,2,2,"Nile tilapia",1,1,0,9,30.47,60,"SL",NA,NA,4324,"highly commercial",2,NA,"Troph of adults from 1 study.",NA,NA,NA,NA,4.20151851851852,NA,4.15222320695811
"4","Cichlidae","Oreochromis","niloticus","Oreochromis niloticus","Y","Y",NA,2,2,"Nile tilapia",1,1,0,9,30.47,60,"SL",NA,NA,4324,"highly commercial",2,NA,"Troph of adults from 1 study.",NA,NA,NA,NA,4.20151851851852,NA,4.15222320695811
"5","Clariidae","Clarias","batrachus","Clarias batrachus","Y",NA,NA,3054,1479,"Philippine catfish",1,1,0,NA,24.27,47,"TL",26.25,"TL",1190,"commercial",NA,NA,NA,3.42,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",55.3,0.71,NA,NA
"6","Clariidae","Clarias","gariepinus","Clarias gariepinus","Y","Y",NA,1934,248,"North African catfish",1,0,0,15,75.68,170,"TL",90,"NG",60000,"minor commercial",3.76,0.379,"Troph of adults from 2 studies.",3.5,0.7,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.184,NA,0.142127556878469
"7","Clariidae","Clarias","macrocephalus","Clarias macrocephalus","Y",NA,NA,4805,33566,"Bighead catfish",1,1,0,NA,72,120,"TL",NA,NA,45000,"commercial",NA,NA,NA,3.7,0.58,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"8","Esocidae","Esox","lucius","Esox lucius","Y","Y","Y",258,26373,"Northern pike",1,1,0,30,73.82,137,"FL",40,"TL",28350,"highly commercial",4.07,0.407,"Troph of adults from 2 studies.",4.47,1.07,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.200147540983607,NA,0.118257623583087
"9","Ictaluridae","Ictalurus","punctatus","Ictalurus punctatus","Y","Y","Y",290,86798,"Channel catfish",1,0,0,24,72.51,132,"TL",57,"SL",26300,"highly commercial",4.16,0.277,"Troph of juv./adults from 2 studies.",3.40000009536743,0.5412,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.192299375,NA,0.128086131566159
"10","Pangasiidae","Pangasius","hypophthalmus","Pangasius hypophthalmus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
